customer_id,purchase_date,product_category,product_quantity,purchase_amount,return,customer_name,customer_age,customer_gender,call_category,call_reason,call_date,agent,supervisor,manager,employment_length,csat_score
44605,1/17/2023 13:14,electronics,3,937,0,John Rivera,31,Female,,,,,,,,
13738,7/25/2023 5:17,electronics,1,2773,0,Lauren Johnson,27,Female,,,,,,,,
13738,2/9/2023 0:53,electronics,4,4327,0,Lauren Johnson,27,Female,,,,,,,,
33969,7/18/2023 23:36,books,2,4187,0,Carol Allen,27,Male,,,,,,,,
42650,4/29/2023 23:31,home,1,2312,0,Curtis Smith,20,Female,,,,,,,,
41840,5/14/2023 9:50,home,4,1599,0,Ronald Berger,48,Male,,,,,,,,
41840,9/9/2023 1:02,home,5,1231,0,Ronald Berger,48,Male,,,,,,,,
1254,3/21/2023 20:00,home,5,3742,0,Mr. David Morgan,70,Male,,,,,,,,
13389,8/25/2023 14:40,books,1,3926,0,Monica Ramos,51,Male,,,,,,,,
13389,4/17/2023 16:26,home,4,1176,0,Monica Ramos,51,Male,,,,,,,,
10191,2/18/2023 2:33,home,5,1050,0,Walter Griffin,66,Male,,,,,,,,
16825,3/18/2023 15:00,books,2,3400,0,Melissa Cabrera,37,Male,,,,,,,,
18467,5/9/2023 2:20,electronics,4,3660,0,Terri Carter,23,Male,,,,,,,,
34857,2/6/2023 19:10,electronics,4,402,0,Alexander Morse,57,Male,,,,,,,,
7340,7/4/2023 11:47,books,3,4224,0,Kim Mcdonald,35,Male,,,,,,,,
31538,1/19/2023 12:39,home,4,4847,0,Joshua Maynard,37,Male,,,,,,,,
31538,2/17/2023 22:16,home,4,1475,0,Joshua Maynard,37,Male,,,,,,,,
33511,7/13/2023 15:52,books,3,2273,0,Kathleen Brown,56,Male,,,,,,,,
5952,2/7/2023 23:39,electronics,2,1947,0,Elizabeth Ingram,55,Male,,,,,,,,
17203,1/21/2023 1:04,electronics,3,3809,0,James Roberson,62,Male,,,,,,,,
15079,9/13/2023 13:37,electronics,5,3209,0,Christine Stanton,24,Male,,,,,,,,
21450,6/14/2023 9:39,home,4,1310,0,Christopher Barber,39,Female,,,,,,,,
44311,3/12/2023 22:26,home,3,2725,0,Lauren Torres,49,Female,,,,,,,,
835,1/29/2023 5:37,electronics,1,5281,0,Richard Smith,59,Male,,,,,,,,
26275,9/9/2023 4:57,electronics,2,4814,0,Colton Guerra,64,Female,,,,,,,,
6656,9/4/2023 19:30,electronics,4,3694,0,Stacy Melendez,19,Female,,,,,,,,
6656,6/21/2023 8:24,books,5,3592,0,Stacy Melendez,19,Female,,,,,,,,
45727,5/9/2023 4:40,books,2,1650,0,April Reynolds,61,Female,,,,,,,,
23699,6/1/2023 5:44,electronics,4,3050,0,Tina Murray,59,Male,,,,,,,,
23699,8/29/2023 6:31,home,5,3778,0,Tina Murray,59,Male,,,,,,,,
15531,2/19/2023 0:08,home,4,1190,0,Julie Molina,34,Female,,,,,,,,
8086,2/21/2023 3:09,electronics,1,1735,0,Angel Harris,39,Male,,,,,,,,
